planner,object,initial_pose_seed,planner_seeds,final_recall@5,final_f@5,final_chamfer_mm,final_visibility_coverage,visibility_coverage_auc,recall@5_auc,f@5_auc,cumulative_active_gain_f@5,selected_gain_f@5_per_action,oracle_gain_f@5_per_action,score_gain_correlation,correlation_valid_rate,oracle_regret_f@5,oracle_action_accuracy,representation_update_s,candidate_scoring_s,planning_time_s
actnerf,Bowl,0,3,0.9472333333333333,0.972811693241284,2.464218469828449,0.48591779011686675,0.33081674909019787,0.7614566666666667,0.8512360738881343,0.45766617750182653,0.0915332355003653,0.11325570417210368,0.13333333333333333,1.0,0.02172246867173837,0.4000000000000001,2.121462888800306,0.24362739006658862,2.365090278866895
actnerf,Bowl,1,3,0.8832222222222222,0.9370942774348442,2.9741257753223294,0.41139016842226717,0.28481635784030046,0.74311,0.8420112452954789,0.3787435241731128,0.07574870483462257,0.1118015400539739,-0.10000000000000002,1.0,0.03605283521935133,0.26666666666666666,2.121714290000091,0.23989181433231957,2.3616061043324104
actnerf,Bowl,2,3,0.9652111111111111,0.9822676681090562,2.403741151907322,0.4804528473966645,0.3297898021840732,0.8038077777777778,0.8793354766515256,0.3878148944958628,0.07756297889917256,0.08893742618513993,0.3,1.0,0.011374447285967357,0.7333333333333334,2.1230001179341342,0.2396973069330367,2.362697424867171
actnerf,Bowl,3,3,0.8962444444444445,0.943927285910506,2.8837237099176893,0.42911181936012294,0.27777355206122945,0.7280966666666666,0.8258616832889211,0.5350593763928843,0.10701187527857685,0.14287967248440692,0.3,1.0,0.03586779720583008,0.5333333333333333,2.13353259779833,0.24191445999943728,2.3754470577977678
actnerf,Bowl,4,3,0.9144666666666666,0.9546805380008946,2.759410963327312,0.4393387455194127,0.324435318708777,0.8065088888888888,0.8827713979544031,0.3444702164962155,0.0688940432992431,0.09069568422060308,0.19999999999999998,1.0,0.021801640921359968,0.4000000000000001,2.110437138067209,0.2404552500670737,2.350892388134283
actnerf,Bowl,5,3,0.9423111111111111,0.9699485883535872,2.5928674175719215,0.45885183436940363,0.30854219641551356,0.7523011111111111,0.846496122204602,0.3751337214948786,0.07502674429897571,0.10510127372322546,0.3333333333333333,1.0,0.030074529424249746,0.5333333333333333,2.1191770286667935,0.24159744666540064,2.360774475332194
actnerf,Bowl,6,3,0.9031666666666666,0.9486500668434198,2.7773055948169136,0.4510989916216251,0.2932732929598435,0.7065966666666667,0.806039443865501,0.506929726099601,0.10138594521992018,0.13310098772893478,0.10000000000000002,1.0,0.0317150425090146,0.4666666666666666,2.120581585998783,0.23824688079912448,2.3588284667979074
actnerf,Bowl,7,3,0.9537111111111112,0.976268826973219,2.4519496655440287,0.4516280150118588,0.33275393537127707,0.8240255555555556,0.89267775681643,0.3872699322574183,0.07745398645148366,0.094976791918295,0.26666666666666666,1.0,0.01752280546681134,0.4666666666666666,2.1337903883327574,0.24128099493391345,2.3750713832666706
actnerf,Bowl,8,3,0.9455888888888889,0.9717074623211843,2.505475058616376,0.49374265113602994,0.3156898884304628,0.7401011111111111,0.8360550332442546,0.3549608743462673,0.07099217486925345,0.10541857659113325,0.5333333333333333,1.0,0.034426401721879794,0.4666666666666666,2.1287790034000253,0.240510047134012,2.3692890505340376
actnerf,Bowl,9,3,0.9044333333333333,0.9486340156763072,2.7933442027302604,0.45891093130865596,0.32284609095205336,0.77612,0.8620300374728643,0.36149576715392523,0.07229915343078504,0.08861214492590697,0.3666666666666667,1.0,0.016312991495121925,0.4666666666666666,2.1140528991988203,0.2420570761998533,2.3561099753986734
